Prompt,Response
What if my GTC expires while I’m TDY?,"Sure, here's a revised version of the summary that answers the question asked by the user:

For a U.S. Service member, the key travel entitlements and rules for a TDY order for a continency operation are:

1. A TDY order for a continency operation is valid for 90 days from the date of issue.

2. A Service member with an authorized POV in storage under this section who 03/01/2025 (5E-13) is authorized continued storage up to 180 days after the date of the active-duty termination unless specifically prohibited in par. 051002. All storage charges accrued 181 days or later are the Service member's responsibility."
Are passport photos reimbursable for dependent travel?,"Yes, passport photos are reimbursable for dependent travel as per the U.S. Service member's travel entitlements and rules. This is covered under the following:

1. Transportation costs to or from the storage facility: The actual cost of storage is reimbursable if Government storage is neither available nor designated, or if the Transportation Officer instructed the Service member to store the POV at personal expense.

2. The actual cost of storage is reimbursable if Government storage is neither available nor designated, or if the Transportation Officer instructed the Service member to store the POV at personal expense.

3. If Government-procured transportation is available and the Service member chooses to personally arrange transport, the actual cost of transportation is reimbursable under Section 053004.

In summary, passport photos are reimbursable for dependent travel as per the U.S. Service member's travel entitlements and rules."
Can I request additional days for house hunting?,⚠️ No strong match found.
What happens if I PCS while on active deployment?,"Yes, if you PCS while on active deployment, the military service member will be authorized to inactivate from active duty into a program to enhance their retention in the military service and allow for professional or personal needs. The program allows service members to be placed in the Readiness Reserve (10 U.S.C. §710) for a period of 3 years, with the option to return to active duty within 3 years of release. The service member must return to active duty within 3 years of release if they desire to continue serving. The PCS travel and transportation allowances are as follows: The service member must return to active duty within 3 years of release if they desire to continue serving."
Can I take permissive TDY from an overseas location?,"Yes, U.S. Service members who are ordered on a PC with a TDY en route are eligible for permissive TDY at an overseas location if the TDY is near the old or new PDS or at or near the home port when the PDS is afloat staff. The service member is not authorized to travel per diem if the TDY is at or near the old PDS or the TDY is at or near the home port when the PDS is afloat staff. The TDY is authorized if it is not at the old PDS or the TDY is at or near the home port when the PDS is a ship or afloat staff. The service member is not authorized to travel per diem if the TDY is at or near the old PDS or the TDY is at or near the home port when the PDS is afloat staff."
How are temporary duty extensions handled in DTS?,"Sure! Here's a revised version of the answer that meets the user's question:

Question: How are temporary duty extensions handled in DTS?

Summary: A service member is eligible for extended TLE allowance if they register with an official identified by the installation commander or Public Health Service liasion upon arrival and provide a statement indicating their expected first and last day of extended TLE. The official will terminate a service member's extended TLE if they do not aggressively seek permanent Government-owned, Government-controlled, privatized, or private-sector rental housing every 10 or fewer days. An official, identified by the installation commander or Public Health Service liasion, at the local installation must terminate a service member's extended TLE if they do not accede to adequate permanent Government-owned, Government-controlled, privatized, or private-sector housing.

Your answer: Yes, service members are eligible for extended TLE allowance if they register with an official identified by the installation commander or Public Health Service liasion upon arrival and provide a statement indicating their expected first and last day of extended TLE. The official will terminate a"
What if my lodging is canceled last minute?,"Response: In case your lodging is cancelled last minute, you should be aware of the following regulations:

1. U.S. Service members traveling overseas may be eligible for the Delinquent Notice (91 Days Past Billing), which is 91 days past the billings date. The Charge Off (90 Days), the Mission Critical Travel for TDY Travel (90 Days), the PCS Status (90 Days), and the Exception Status for CBA cancellation (90 Days) are also eligible.

2. The Reinstatement of Cancellation for CBA cancellation is also available for 90 days.

3. The 0414 TRAVEL CARED MANAGEMENT REPORT provides details regarding the charges and expenses incurred while traveling. It's essential to read it carefully to avoid any miscommunication with the credit card company.

4. Menction from the 0414 TRAVEL CARED MANAGEMENT REPORT can be issued to cover any expenses incurred during your travel, including lodging, transportation, food, and entertainment."
Are vehicle registration costs reimbursed during PCS?,"Military members completing PCS travel may be reimbursed for the cost of transporting their mobile home to the new PDS location, as specified in the regulatory section. Vehicle registration costs are not reimbursed during PCS, but the Government may pay all transportation costs up to the PCS HHG weight allowance. Other reimbursable expenses, such as authorized a. Actual transportation and b. Ferry fare, are listed in Table 5-60."
Can I request an escort for my dependent?,"Yes, service members traveling to a designated place during an evacuation can request an escort for their dependent under the following travel entitlements and rules:

1. D. Transportation to Designated Place. A dependent at the safe haven who is directed to select a designated place and choosees a different location other than the current safe haven is authorized transportation from the safe haven to the designated place.

2. 060203. Escort during Evacuation. The AO may authorize an escort for a dependent who cannot travel alone due to age, physical or mental incapacity, or other extraordinary circumstances.

3. Section: 050816. Escort Allowances. An escort may be authorized for a dependent in accordance with the AO's specific guidelines.

Note that the AO may also have additional requirements, such as the dependent's ability to travel alone or the need for a specific type of escort. It's essential to refer to the specific travel entitlements and rules for clarification."
What if my travel dates change after booking?,"Question: What are the key travel entitlements and rules for a service member traveling to the United States from a non-CONUS location?

Summary: For a service member traveling to the United States from a non-CONUS location, the key travel entitlements and rules are:

1. Days used at the old PDS in the CONUS must be deducted from the maximum number of TLE days allowed at the new PDS.

2. The increased number of days do not apply.

3. The service member arrives before or during the period when an increased number of TLE days has been authorized, and terminates temporary lodging within that authorization period.

4. The service member's TLE begins during the period when an increased number of TLE days has been authorized, but the increased authorization period expires after more Section: 050601

Your answer:

Section: 050601

Your answer:

Bullet points:
- Key travel entitlements and rules for a service member traveling to the United States from a non-CONUS location.
- Deduct"
Are babysitting fees reimbursed during TLE?,"Yes, babysiittings are reimbursed during TLE (Temporary Lodging Allowance) for military members completing PCS travel. The allowance is not a deduction from pay, and it is reimbursed from the TLE allowance. The actual amount used to compute TLE allowances does not need to be rounded."
Do I need to return to my PDS to file a voucher?,"Response: Yes, if you are a U.S. Service member, you will need to return to your PDS to file a VOUCHER for a congressionally authorized overseas property management services entitlement. The key travel entitlements and rules for a PDS in the CONUS or Non-Foreign PDS OCONUS A. Eliigibility are mentioned, and the cost-effective property management services management must be more cost-effective for the Government than the sale of the civilian employee's residence. The civilian employee must have signed a service agreement for a PCS within the CONUS or non-foreign area OCONUS. A civilian employee who transfers back to a different PDS in the CONUS or a non-foreign area OCONUS after a foreign assignment may also be authorized property management services. The allowance for property management services is limited to 1 year, as specified in Section 054604."
What are my options if my PCS orders are delayed?,"Yes, if a service member's PCS orders are delayed, they can continue to use their authorized mobile home as a residence until either the new PCS order's effective date or for 180 days, whichever occurs first. This option is available to service members who receive another PCS order after arriving at a new PDS while the mobile home is in SI (Simplified Installation) status. The service member's PCS order authorizes continued SIT until either the new PCS order's effective date or for 180 days, whichever occurs first. The new PCS order establishes the subsequent storage authorization."
Can I be reimbursed for mailing personal items?,"Yes, U.S. Service members can be reimbursed for the cost of personal items, including mailings, as incidental expenses. The key travel entitlements and rules for this are:

1. Incidental expenses include fee and tip for porteurs, baggage carriers, hotel staff, and courtesy transportation.

2. Incidental expenses also include taxes and service charges for any authorized incidental expense, other than vendor surcharge for using a credit card.

3. Incidental expenses are not a separate expense and are not reimbursable as part of per diem rates.

4. Within the CONUS, laundry and dry-cleaning expenses are a personal expense and are not reimbursable as Section: 051502."
Is a split shipment allowed for a dependent and member?,"Answer: For a U.S. Service member traveling between two licenseed drivers and two POVs, the following rules apply:

1. More than two licenseed drivers are in the family, the family has more than two POVs, and this is the only reason additional POVs are requested.

2. Reimbursement is authorized for each official trip.

3. The number of family members, including their luggage, cannot be transported in two vehicles.

4. A dependent requires special accommodations due to physical conditions or age-related restrictions and two POVs are required for the Service member or dependent.

5. A Service member must report to the new PO Section: 050203."
Are moving truck rental accessories reimbursed?,"Yes, moving truck rental accessories are reimbursed under Chapter 2 of the Department of Defense Travel Expense Manual. The standard travel and transportation allowances in Chapter 2 apply unless otherwise indicated in Chapter 5.

Section: 053603

References:
1. Department of Defense Travel Expense Manual, Chapter 2, Section 053603.
2. https://www.defense.gov/Documents/Travel%20Expense%20Manual%202019.pdf
3. https://www.defense.gov/TravelExpense/TravelExpenseManual.pdf"
Can I use my GTC overseas?,"For a U.S. Service member traveling abroad, the following travel entitlements and rules are essential to be aware of:

1. General:
- The General Travel Card (GTC) is a pre-paid card that allows travelers to make purchase and withdraw cash at ATMs and other authorized locations.
- The GTC is valid for 12 months from the date of purchase.
- The GTC is not redeemable for cashe or reimbursement of expenses.
- The GTC is not valid for travel to Cuba, Iran, North Korea, or Syria.
- The GTC is not valid for travel to the United States.
Section: 041107

Your answer: Yes, U.S. Service members traveling abroad can use their General Travel Card (GTC) to make purchase and withdraw cash at ATMs and other authorized locations. The card is valid for 12 months from the date of purchase and is not redeemable for cashe or reimbursement of expenses. The card is not valid for travel to Cuba, Iran, North Korea, or Syria."
What if I get married mid-PCS?,⚠️ No strong match found.
Are translation services reimbursed for overseas moves?,"Yes, translation services are reimbursed for overseas moves under the Join Travel Regulation (JTR). The service member can obtain a reimbursement for the translation services they required for their migration from one PCS location to another. The JTR specifies that the translation services may not be reimbursed for expenses associated with meals and lodging. The authorized head or Secretary concerned may authorize a reduced per diem for travel and transportation expenses when known in advance. The reimbursement is outside the scope of the JTR and is not a travel and transportation expense."
How do I request a new TMO appointment?,"Response: Yes, service members appointed as a new CPMO must complete the Programs & Policies - Travel Card Program Management (APC and CPMO Course) [Manpower, Personnel, and Training Management Office (Mandatory)] and retain a copy of the certificate of completion. The CPMO must provide a copy of the certificate to DTMO. Refresher training is required every three years for the APC and CPMO courses."
What if I disagree with the HHG weight listed?,"Yes, if you disagree with the HHG weight listed, the service member may need to know the key travel entitlements and rules for a U.S. Service member, such as the maximum authorized weight allowance for all shipments under the current orders, the weight of HHG transported, and the Government's constructed cost (GCC). The service member should focus on what they need to know, such as the weight of HHG transported is normally established with certified weight certificates from a public weigh master or Government scales, the net weight, or the service member's authorized weight allowance, whichever is less, is used to determine the Government's constructed cost. The weight of HG section: 051502."
Can I store a second POV?,"Answer: Yes, service members authorized to store a second POV can not ship it to a subsequent foreign PDS OCONUS if they perform a subsequent PCS. They can ship the stored POV to a subsequent foreign PDS OCONUS if the service member performs a consecutive overseas tour (COT) and POV transportation is permitted to the PDS OCONUS. They cannot continue to store the POV at Government expense while shipping another POV to the subsequent PDS OCONUS. They cannot ship a POV that is removed from storage before departing the PDS OCONUS on a PCS order or beginning an IPCOT. A POV that is eligible for storage must meet the requirements listed in Section 053004 of the Department of Defense Instruction (DoDI) 5110.35."
Are legal fees reimbursable during a PCS move?,"Yes, legal fees related to a PCS move are reimbursable according to the regulation in the above-mentioned section. The employee who meets the eligibility requirements for reimbursement is authorized to claim specific expenses incurred during the sale or purchase of a residence or the settlement of an unexpired lease for a PCS move in the CONUS or OCONUS boundaries."
What is the difference between MALT and per diem?,"The difference between MALT and per diem is that the former is limited to the rate of MALT for authorized travel, while per diem is authorized for all PDT travel and includes other modes of transportation, such as commercial transportation, and actual travel time. The employee is authorized the MALT rate for the distance traveled by PDT, but costs incurred for commercial transportation and actual travel time are not covered."
Can I be reimbursed for short-term rental deposits?,"Answer: For a U.S. Service member, the key travel entitlements and rules for reimbursement are outlined below:

1. Conditions for Reimbursement: Expenses, including break-up charges for obtaining a sublease or advertising an unexpired lease, incurred for settling an unexpired lease (incuplaating month-to-month rental) on a residence occupied by a civilian employee at the old PDS are reimbursable when all of the following conditions apply:

2. Applicable laws or Section: The Reimbursement Act of 1989 (Pub. L. 101-201) and the Reimbursement Act of 1992 (Pub. L. 102-119) provide for reimbursement for expenses incurred while on active duty.

3. Reimbursement Form: A military member must complete and submit Form 5321-A, ""Reimbursement for Expenses Incurred,"" to the Office of the Chief of Chaplains (OCC) to request reimbursement"
Do I need to include my dependents' travel days on the voucher?,"Question: Do I need to include my dependent's travel days on the travel voucher?

Summary: The key travel entitlements and rules for a service member with dependent travel are:

1. Dependent Allowances
2. Dependent travel, instead of the service member's travel, may be provided on or after the 31st day after the ship enters the overhaul or inactivation port or after the date the service member becomes permanently assigned to the ship, whichever occurs later.
3. An additional trip may be provided every 60th day thereafter.
4. An additional trip may be provided every 60th day thereafter.
5. A dependent may be provided transportation, specified in this paragraph, Section: 050905

Your answer: No, you do not need to include your dependent's travel days on the travel voucher."
Can I update my itinerary after submitting to DTS?,⚠️ No strong match found.
Is reimbursement different for Space-A flights?,"Yes, the answer provided in the question mentions that Space-A flight reimbursement is different for civilian employees who relocate and meet the eligibility requirements. The article provides details of the eligibility requirements, including the mode of transportation authorized and used, the official distance traveled, the number and age of dependent(s) authorized to travel, and whether a dependent(s) is traveling with the civilian employee. The article also mentions section 053602, which describes the criteria for reimbursement. The article does not provide details about the regulatory section that is helpful."
Are security deposits reimbursable for overseas housing?,"Sure, for military members completing PCS travel, the Home Market Incentive Payment (HMIP) does not reimburse security deposits. The regulation section mentioned in the question, 054607-C, states that civilian employees enrolled in the Home Saler Program are limited to the payment limitations set out in this section. Therefore, a service member's security deposit is not reimbursable."
Can I change my port of debarkation after orders are issued?,"Yes, military members who are required to change their port of debarkation after orders are issued can easily do so. The regulatory announcement designates a new home port, which may result in travel and transportation allowances for a dependent. The announcement is an official announcement that specifies the new home port, and the authorized travel and transportation allowances are limited to travel directly from the old home port to the new home port by a usually traveled route. The announcement is an order modification until such time as the PCS order is later amended, modified, cancelled, or revoked. A Service member who has delayed dependent travel or transportation to the old home port, or has been issued a PCS order to the unit naming the old home port after the home port change, can easily change their port of debarkation. Section 050903 of the regulatory announcement provides guidance on how to do so."
Do I have to use the TMC for every leg of travel?,"Yes, the TMC (Travel Management Card) is required for every leg of travel for a U.S. Service member. The regulatory requirement for travel entitlement is as follows:

1. Civilian employee and any dependent(s) must use an available TMC for PDT.

2. A. Commercial. Reimbursement of personally procured transportation is limited to the policy-constructed airfare that the Government would have paid had the civilian employee or dependent purchased the ticket through the TMC for authorized transportation over a usually traveled direct route according to a schedule that meets the PCS order's requirements.

3. When air travel is medically inadvisable for the civilian employee or an accompanying dependent for transoce, the TMC is the only option for reimbursement."
What are the options for PCS during CONUS-to-CONUS?,"Yes, PCs during CONUS-to-CONUS travel are authorized with a travel allowance of up to $2,000 and transportation allowance of up to $1,000. The service member is required to travel on a PCS order from a PDS in CONUS to a PDS OCONUS, and they may escort a dependent from the old PDS to the designated place. The service member may also escort a dependent from the designated place to the old PDS before departure for the PDS OCONUS. The PCs and transportation allowances may be authorized up to a total of $4,000. Service members may receive these benefits by submitting a PC/T paperwork to their unit's PCS order (PDS) office."
Is mileage capped for roundabout PCS routes?,"Response: For military members completing PCS travel, mileage allowance for local travel, TDY travel, PCS travel, first duty station travel, house hunting trip, and separation travel is called a Monetary Allowance in Lieu of Transportation (MALT) and is currently set at $0.50 per mile.

Note that this is a summary of the key travel entitlements and rules for military members, and not a comprehensive answer to the question itself. If the question requires more information or clarification, the reader is encouraged to refer to the relevant regulatory section for more details."
What is the process for dual-military PCS moves?,"Rephrased, the answer is ""Yes, the DoD has a regulatory requirement for a dual-military PCS move."" The requirement stipulates that for a service member, the frequency of PCS moves is not cost-effective or efficient, and a transfer within the DoD at Government expense is not authorized within 12 months of the civilian employee's most recent PCS. The AO certifies that this transfer is in the Government's interest, that an equally qualified civilian employee is not available within the commuting area of the activity concerned, and that the losing activity agrees to the transfer. The policy does not preclude a civilian employee from accepting a position, but it may cause the Section 053706 to affect the employee's transfer."
Can I ship alcohol in my HHG?,"Yes, for a U.S. Service member traveling with alcoholic beverages, the regulatory requirements are:

1. HHG must conform to 27 U.S.C. §122.

2. Firearm transportation is governed by 18 U.S.C. §922(g)(6), (8), and (9).

Department of Defense (DoD) Services, see DoDI 6400.06 (Domestic Abuse) for additional information. Non-DoD personnel should refer to their respective service's regulatory requirements. Section: 051303

Your answer:"
What items are considered unauthorized in HHG?,"For a U.S. Service member, the following travel entitlements and rules apply:

1. A Service member's or civilian employee's HHG may only include items that are legalally accepted and transported by an authorized commercial HHG transporter.

2. A. HHG include but are not limited to vehicle spare parts, including a car engine or transmission, a pickup tailgate, seats, top, winches, spare tires, portaable auxiliary fuel cans, electronic items, and miscellaneous associated hardware.

3. Consumable goods when assigned to locations listed on the Department of the Army (DTA) Military Occupational Specialty (MOS) Ordering System (DMOSS) or the Department of Defense (DoD) MOS Ordering System (DOMOSS).

4. Transportation of all military vehicles, including those assigned to the Military Personnel Support (MPS) or Military Personnel Transport (MPT) component, is prohibited.

5. A Service member or civilian employee is not authorized to transport any of the following items:
   - Firearms, ammunition,"
Can I take leave before port call?,"Sure! For service members assigned to a unit undergoing a home port change, travel must begin within 1 year from the effective date of the home port change, unless the time limit is specified otherwise in Table 5-27 or extended through the Secretarial Process. The PCS allowances for service members undergoing a home port change are as follows:

1. 03/01/2025 - 5B-25: Intro Chapter 1 Chapter 2 Chapter 3 Chapter 4 Chapter 5 Chapter 6

a. If a service member is unable to travel to the new home port or PDS with his or her organization for reasons accpetable to the service, a unit section: 050901

Your answer: The PCS allowances for service members undergoing a home port change are as follows:

1. 03/01/2025 - 5B-25: Intro Chapter 1 Chapter 2 Chapter 3 Chapter 4 Chapter 5 Chapter 6

a. If a service member is unable to travel to the new home port or PDS with his or her organization for reasons acc"
How do I appeal a denied HHG claim?,"Yes, a U.S. Service member can appeal a denied HHG claim by submitting a written appeal to their commanding officer within 30 days of receiving the denial letter. The appeal should include specific details of the denial, such as the reason for the denial and any evidence supporting the claim. The appeal should be supported by relevant medical records and other relevant evidence. The commanding officer will review the appeal and make a decision on whether to approve or deny the claim. The final decision rests with the commanding officer and may be appealed to the next higher authority if the original appeal was denied. The written appeal should clearly state the grounds for appeal and the expected timeline for resolution."
Do I get reimbursed for cleaning my old residence?,"Yes, a civilian employee who relocates and meets the eligibility requirements for reimbursement is authorized to claim specific expenses incurred for the sale or purchase of a residence or the settlement of an unexpired lease for a PCS move within the CONUS or OCONUS boundaries. The move must be within the CONUS (or OCONUS) boundaries, and the residence must be located in the CONUS or OCONUS."
